lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,flow_id
pl,2007,4,3650,1398.68677498618,1857.40566805149,6296,957
pl,2007,5,3928,1484.04554996053,1770.22257500586,7081,1333
pl,2007,6,3456,1302.76249464647,1742.58327407308,6320,668
pl,2007,7,3564,1762.11981184632,1937.28416852111,6731,1022
pl,2007,8,3349,1504.12292928575,2145.75023143605,6295,573
pl,2007,9,3326,2110.28761020213,1776.1411505173,6371,970
pl,2007,10,3449,1684.61052620274,1875.07092057794,6161,100
pl,2007,11,3129,1414.68180431542,1788.8533896406,5667,1277
pl,2007,12,3048,1615.9198560871,1993.15991411353,5184,1226
pl,2008,1,2995,1518.04924693747,1804.62762811181,4575,4
pl,2008,2,2887,1679.06084962572,1976.08533545273,4554,1043
pl,2008,3,2971,1774.59948530205,2189.72926755214,4729,143
pl,2008,4,2893,1597.1286114816,1821.48451525688,4287,70
pl,2008,5,3029,1613.48552753458,1973.52143612764,4610,528
pl,2008,6,2911,1920.43909590917,2358.43827537668,4314,361
pl,2008,7,2452,1145.84455287245,1502.91272895533,4206,1250
pl,2008,8,947,1149.80333416936,1379.96750125505,1558,1356
pt,2003,12,12,4856.19830923837,4504.69986300563,13,1218
pt,2004,1,27,4711.44774387988,4298.72125010274,35,7
pt,2004,2,69,4491.47319459092,4833.36021260653,92,1012
pt,2004,3,106,3681.99183458365,4526.99332901656,171,128
pt,2004,4,122,3790.48191783679,3892.94184719908,185,83
pt,2004,5,105,3947.79761943445,4333.51528612741,151,518
pt,2004,6,228,2906.4039120707,3946.58312828288,405,330
pt,2004,7,124,2975.4049195721,3777.02521335681,190,1249
pt,2004,8,203,4618.45218787133,5397.05566647204,364,1368
pt,2004,9,268,5130.89231877873,5241.80214377654,333,96
pt,2004,10,284,5087.52678792905,5801.859570325,463,986
pt,2004,11,451,3906.75670905372,4828.77812375727,713,1087
pt,2004,12,364,3494.7515910204,3978.98982167053,589,989
pt,2005,1,459,4138.87700096142,4520.76037251839,716,823
pt,2005,2,434,2853.99059988145,3479.18643162407,724,116
pt,2005,3,418,4088.72057182493,4602.74163840112,608,1069
pt,2005,4,755,3525.16417653742,4045.63469129645,1199,944
pt,2005,5,738,4054.30693320088,4558.81725820734,1133,186
pt,2005,6,686,4078.01757002613,4415.15885750526,1098,685
pt,2005,7,772,2993.29069674931,3793.31942448359,1394,1014
pt,2005,8,959,3879.20507569748,4420.82530546151,1711,587
pt,2005,9,808,3679.86408176998,4260.04896529967,1387,964
pt,2005,10,1147,3262.27559777243,3652.6773942746,1809,1237
pt,2005,11,1068,3651.85608365712,4023.64216265297,1782,140
pt,2005,12,1199,3021.95170146785,3558.93391093167,2161,107
pt,2006,1,1754,2939.08727482169,3448.38021325404,3295,1063
pt,2006,2,1597,2951.80050768051,3436.37293235028,2904,1210
pt,2006,3,1845,3400.52248152078,3689.85156152409,3226,819
pt,2006,4,2204,3268.9533676733,3722.28061517912,4615,1019
pt,2006,5,2417,3944.51690483255,4498.20416727706,5250,459
pt,2006,6,2439,3945.12629072427,4226.26059493451,5788,610
pt,2006,7,2320,3253.50822251478,3947.59721094207,5338,952
pt,2006,8,2568,3441.42109817993,4127.37555924368,5509,635
pt,2006,9,2741,3419.83295510214,3858.37878148056,5807,910
pt,2006,10,2920,3509.47543245204,3950.97229612213,6218,48
pt,2006,11,3324,3455.34328350092,3882.33872383269,8242,1134
pt,2006,12,2817,2953.73390428391,3606.69702428809,6518,1176
pt,2007,1,2808,2744.94930001051,3343.7410035781,6433,247
pt,2007,2,2256,2885.48957628587,3372.83851042666,4258,743
pt,2007,3,2775,3734.83966063471,4142.25556278053,4516,362
pt,2007,4,2399,3192.90149813951,3657.94491947298,4216,166
pt,2007,5,2380,3217.24208970285,3696.52164623776,4403,899
pt,2007,6,2428,3395.99787359182,3689.44152437448,4317,1271
pt,2007,7,2516,2961.80826457798,3516.86014050521,4756,387
pt,2007,8,2857,3395.49563693758,3795.29919086204,5342,1156
pt,2007,9,2927,3077.70680323881,3543.94866017277,5569,438
pt,2007,10,3058,3375.04305433293,3711.31530693594,5841,769
pt,2007,11,2787,2963.85427112535,3369.60121678563,5057,666
pt,2007,12,2813,2852.10498069078,3266.46716160093,4874,770
pt,2008,1,2654,2499.15060970603,3086.66192441685,4896,615
pt,2008,2,2397,2972.1497848585,3190.4383978941,4522,373
pt,2008,3,2635,2921.87784321735,3375.99992112554,4587,669
pt,2008,4,2809,3228.6675643263,3620.10195123809,4754,495
pt,2008,5,2802,3468.50064061381,3667.15228067885,4796,1183
pt,2008,6,2472,3422.06198077323,3718.34451918288,4424,1061
pt,2008,7,2118,2635.38111013938,3110.49879132713,3868,725
pt,2008,8,937,3594.68900721996,4027.92009887561,1680,860
ru,2002,11,4,3108.53028856128,3393.41323934964,5,969
ru,2003,1,40,1915.27803384418,2300.71349213309,73,545
ru,2003,2,9,2733.47083986932,3214.48815246667,11,282
ru,2003,3,4,1657.75010151878,1657.75010151878,4,767
ru,2003,4,10,2185.50028803507,3553.6319741393,21,574
ru,2003,5,17,2309.88616287342,2227.26784021533,24,1132
ru,2003,6,13,1308.71188399281,1406.90534915986,21,973
ru,2003,7,23,4255.36006220614,4466.82070937336,31,631
ru,2003,8,17,3131.45073367119,4016.07835002875,30,959
ru,2003,9,27,1550.56199753394,1636.953454585,30,671
ru,2003,10,9,608.830782952627,786.165896189831,14,360
ru,2003,11,36,2725.67531362273,3348.18608870919,48,433
